Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czech Republic,193.9,192.0,190.6,190.9,184.9,155.3,143.2,136.6,134.1,128.6,130.2,132.9,127.2,121.6,113.9,124.1,125.1,120.8,124.0,124.8,123.4,126.0,125.6,120.3,113.5,116.5,113.1,109.3,105.0,102.0,102.8,104.8,104.8,103.8,98.2,88.4,92.9,95.0
Denmark,62.7,63.6,61.0,59.7,54.0,55.8,65.5,60.0,63.4,68.2,65.4,79.1,69.2,64.9,61.5,57.5,57.7,56.8,62.0,56.0,51.8,60.2,55.5,52.1,48.9,50.1,44.8,39.7,42.0,38.3,35.6,37.0,34.4,34.8,31.5,26.0,28.2,27.7
Estonia,38.4,38.5,38.9,38.0,39.2,41.0,37.5,27.2,22.7,22.7,20.6,21.7,21.4,18.9,17.3,17.9,18.5,18.5,20.4,20.5,20.4,19.9,23.7,21.5,18.6,23.4,23.4,22.8,24.5,23.5,21.4,22.2,24.5,24.1,18.3,15.8,16.8,17.1
Finland,53.4,53.2,56.0,55.3,55.7,57.5,56.7,54.6,56.3,62.9,58.6,64.8,62.8,60.2,59.9,58.8,63.8,66.6,74.9,68.8,58.2,68.5,66.3,58.6,56.2,63.9,57.1,51.0,52.0,47.7,44.9,47.7,45.1,46.5,43.3,36.8,36.2,34.1
France,381.8,369.9,362.4,359.1,370.5,367.2,390.7,379.4,362.0,348.7,356.2,372.5,361.2,384.9,384.4,381.5,383.4,380.1,387.2,389.1,389.8,380.1,370.5,369.7,354.8,360.4,334.1,335.6,334.9,301.5,307.5,313.1,317.8,306.6,299.1,251.5,274.4,269.7
Germany,1045.8,1037.3,1031.4,1017.0,1003.8,1007.6,969.7,923.7,916.3,896.9,889.4,914.8,888.0,879.0,855.9,854.4,871.7,859.0,862.0,847.5,826.3,843.8,811.1,809.4,753.6,783.2,763.7,773.0,797.6,751.1,755.6,770.5,760.9,733.1,680.1,605.5,642.8,634.9
Greece,60.2,60.1,67.1,71.7,78.5,81.5,81.5,84.2,85.4,86.7,88.7,89.9,93.3,98.8,97.3,102.6,104.7,103.7,107.5,107.4,107.8,108.3,112.8,108.6,103.4,95.3,95.4,89.1,79.9,76.1,73.8,70.7,75.0,73.6,69.6,56.3,59.3,62.8
Hungary,79.5,77.9,79.2,75.1,71.3,70.9,65.7,62.1,58.3,58.2,57.9,58.8,57.3,57.9,58.8,55.5,56.8,55.3,58.0,57.3,57.3,57.0,55.0,53.8,48.2,48.7,48.7,44.6,42.0,41.3,43.8,44.7,46.9,47.3,47.1,44.7,46.1,42.9
Iceland,1.9,1.9,2.0,2.1,2.2,2.2,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.6,2.6,2.8,2.7,2.8,2.8,2.9,2.9,3.0,3.1,2.8,2.6,2.5,2.5,2.5,2.7,2.7,2.9,2.8,3.1,3.3,2.8,1.8,1.8,2.5
Ireland,26.9,28.6,29.7,29.1,29.8,31.2,32.0,32.1,32.5,33.6,34.4,36.0,37.3,39.9,41.9,43.8,46.4,45.5,45.2,45.5,47.7,48.1,48.3,47.8,41.9,42.2,38.6,38.5,37.5,37.2,38.7,40.4,39.3,39.1,37.6,33.5,35.5,36.5
