Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,930.5,919.8,927.6,999.3,1025.5,1084.1,1100.8,1113.3,1107.5,1171.5,1187.5,1208.6,1207.6,1175.8,1208.0,1230.0,1223.6,1234.4,1274.3,1258.4,1291.6,1269.0,1282.6,1293.0,1124.1,1195.9,1207.5,1293.8,1282.2,1248.7,1209.1,1189.2,1182.7,1161.5,1120.6,1031.8,1066.6,1065.7
Malaysia,38.3,39.7,40.5,42.5,49.6,54.6,67.3,76.6,74.0,79.6,84.9,98.9,114.0,108.3,113.5,131.4,137.3,145.5,159.8,174.1,187.6,187.4,199.7,208.0,199.6,214.1,209.9,227.8,234.1,243.2,247.1,252.6,241.2,251.2,255.8,247.0,255.7,272.9
New Zealand,20.7,21.6,22.1,23.0,23.9,25.2,25.7,27.3,26.8,27.7,28.0,29.0,31.1,29.8,31.0,31.6,33.9,33.8,36.0,35.2,37.3,37.2,36.0,37.0,34.1,34.0,33.9,35.4,35.1,35.0,35.4,34.6,36.7,36.6,38.0,33.1,32.5,30.6
Pakistan,39.2,43.3,47.6,51.3,54.8,58.5,62.6,65.6,72.6,76.2,80.0,84.8,85.3,88.7,94.4,97.9,99.0,102.1,107.3,118.1,120.5,130.3,141.7,145.9,146.1,146.1,145.2,144.6,145.3,151.7,160.3,176.5,188.7,195.3,194.8,207.2,231.4,208.3
Philippines,27.5,27.7,32.0,35.1,37.8,41.1,41.5,45.5,50.2,51.5,59.9,64.8,72.0,71.6,69.2,69.5,69.7,68.8,70.6,72.2,73.3,67.6,71.6,73.9,74.6,79.9,80.5,83.2,91.9,97.5,106.7,117.2,129.8,134.8,141.5,128.2,135.8,146.5
Singapore,37.1,43.3,44.7,52.1,59.8,69.6,71.2,76.3,83.1,95.7,98.6,98.4,102.4,101.2,100.0,107.1,117.5,111.8,103.7,116.2,127.3,140.3,151.4,163.4,176.7,185.4,192.6,191.7,191.3,190.8,202.3,216.8,227.5,222.8,215.1,210.9,213.3,208.8
South Korea,158.9,170.0,179.2,204.1,215.5,235.4,263.8,288.3,317.9,343.4,372.7,413.6,438.2,376.6,410.5,437.2,450.6,468.9,478.3,487.8,496.4,501.5,513.3,525.9,530.2,586.9,613.7,612.6,620.0,615.0,622.8,633.2,641.8,659.1,635.3,588.1,603.0,592.4
Sri Lanka,4.9,5.0,5.6,5.2,4.8,5.4,5.4,6.1,6.1,6.7,7.1,8.7,8.9,9.3,10.0,11.5,11.2,12.0,11.9,11.7,13.6,13.9,14.7,13.6,14.0,14.0,16.4,18.2,15.9,19.6,21.6,24.9,24.5,23.5,25.2,24.7,23.0,19.9
Taiwan,73.7,85.5,90.6,106.8,116.8,120.1,128.4,138.3,149.7,158.5,169.0,176.7,191.9,204.0,214.8,231.5,229.1,239.7,249.0,258.9,264.2,273.3,275.2,262.0,248.5,268.1,273.1,266.9,268.5,275.4,275.7,280.9,286.9,284.8,279.3,265.7,280.2,272.4
Thailand,46.1,47.8,56.4,63.8,74.0,89.4,99.1,108.7,122.5,137.3,154.1,172.0,178.8,162.5,168.6,169.7,176.7,187.9,197.3,216.2,223.9,225.8,234.5,235.8,235.9,248.8,249.3,266.7,265.8,273.7,281.1,286.8,287.5,293.2,288.4,273.1,270.3,275.3
Vietnam,17.4,19.0,21.5,21.0,17.9,18.0,17.5,18.4,20.7,23.1,27.4,31.4,38.0,41.5,40.6,47.5,51.9,58.1,63.5,82.0,87.5,73.4,80.4,105.2,103.3,122.8,132.1,129.3,134.0,150.2,181.9,197.3,199.0,240.4,291.1,285.0,273.1,270.0
Other Asia Pacific,166.7,168.8,162.3,163.6,159.0,154.4,149.3,133.2,126.0,118.3,114.7,105.6,105.6,100.3,107.0,114.4,117.4,113.9,119.8,121.2,126.2,130.8,122.5,128.1,112.2,119.1,110.9,116.1,107.3,119.3,128.8,137.5,178.7,185.3,200.0,200.7,206.6,206.2
